Species,Latin Name,Year,Queens,Workers,Males,Unknown
Common Carder,BOMBUS pascuorum,2012,0,0,1,0
Common Carder,BOMBUS pascuorum,2012,0,0,1,0
Common Carder,BOMBUS pascuorum,2012,0,3,1,0
Field Cuckoo Bumblebee,BOMBUS campestris,2010,0,0,2,0
Tree Bumblebee,BOMBUS hypnorum,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,2,0,0
Field Cuckoo Bumblebee,BOMBUS campestris,2010,0,2,0,0
Field Cuckoo Bumblebee,BOMBUS campestris,2010,0,0,5,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,2,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,15,0,0
Field Cuckoo Bumblebee,BOMBUS campestris,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Tree Bumblebee,BOMBUS hypnorum,2010,0,3,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,3,0
Tree Bumblebee,BOMBUS hypnorum,2010,0,0,0,4
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,2,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,29,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,5,0,0
Common Carder,BOMBUS pascuorum,2010,14,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,21,0,0
Tree Bumblebee,BOMBUS hypnorum,2010,0,4,0,0
Field Cuckoo Bumblebee,BOMBUS campestris,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2009,0,3,0,0
Common Carder,BOMBUS pascuorum,2009,0,4,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,4,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,0,21,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,6,0,0
Garden Bumblebee,BOMBUS hortorum,2009,0,0,2,0
Field Cuckoo Bumblebee,BOMBUS campestris,2009,0,0,2,0
Common Carder,BOMBUS pascuorum,2009,0,7,0,0
Common Carder,BOMBUS pascuorum,2009,0,0,3,0
Common Carder,BOMBUS pascuorum,2009,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,8,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,0,1,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,2,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,2,0,0
Common Carder,BOMBUS pascuorum,2009,0,6,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,9,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,12,0,0
Garden Bumblebee,BOMBUS hortorum,2009,0,1,0,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2009,0,0,2,0
Common Carder,BOMBUS pascuorum,2009,0,3,0,0
Common Carder,BOMBUS pascuorum,2009,0,0,5,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,5,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,11,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,0,51,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,7,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,0,3,0
Garden Bumblebee,BOMBUS hortorum,2009,0,0,2,0
Field Cuckoo Bumblebee,BOMBUS campestris,2009,0,0,2,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2009,0,0,20,0
Common Carder,BOMBUS pascuorum,2009,0,7,0,0
Common Carder,BOMBUS pascuorum,2009,0,0,7,0
Common Carder,BOMBUS pascuorum,2009,0,3,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,11,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,1,0,0
Field Cuckoo Bumblebee,BOMBUS campestris,2009,0,0,1,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2009,0,0,4,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,2,0
Common Carder,BOMBUS pascuorum,2010,0,0,2,0
Common Carder,BOMBUS pascuorum,2010,0,0,2,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
