Species,Latin Name,Year,Queens,Workers,Males,Unknown
a white-tailed bumblebee,BOMBUS lucorum s.l.,2012,0,0,1,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2012,0,0,1,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2012,0,0,2,0
Common Carder,BOMBUS pascuorum,2012,2,0,2,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2012,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2012,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,2,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2012,2,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2012,4,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,1,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,1,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,5,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,2,0,0
Common Carder,BOMBUS pascuorum,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,5,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,4,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,0,2,0,0
Common Carder,BOMBUS pascuorum,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,2,0,0,0
Common Carder,BOMBUS pascuorum,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,0,3,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2011,1,0,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,0,5,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,1,0,0,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2009,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
