Species,Latin Name,Year,Queens,Workers,Males,Unknown
a white-tailed bumblebee,BOMBUS lucorum s.l.,2014,0,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2014,0,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2014,0,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2014,0,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2014,0,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2014,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2014,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2014,1,0,0,0
nan,BOMBUS terrestris,2018,0,3,0,0
nan,BOMBUS terrestris,2018,0,5,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2017,0,0,0,1
a white-tailed bumblebee,BOMBUS lucorum s.l.,2017,0,0,0,1
Common Carder,BOMBUS pascuorum,2017,0,0,0,7
Garden Bumblebee,BOMBUS hortorum,2017,0,0,0,3
